case/step,DAC-MACS min,DAC-MACS max,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE amount,TAAC min,TAAC max,TAAC amount
encrypt,137.5,174.3203125,314,,,,,,,,,
decrypt,,,,97.1796875,135.76171875,76,,,,,,
encrypt,,,,77.171875,114.75,465,,,,,,
decrypt,,,,,,,117.546875,154.4375,197,,,
encrypt,,,,,,,97.5390625,135.484375,435,,,
decrypt,,,,,,,,,,118.21875,153.89453125,165
encrypt,,,,,,,,,,108.21484375,148.234375,380
decrypt,157.53515625,192.41796875,187,,,,,,,,,
encrypt,137.51953125,173.22265625,242,,,,,,,,,
decrypt,,,,97.1796875,136.796875,51,,,,,,
encrypt,,,,77.171875,115.8671875,168,,,,,,
decrypt,,,,,,,117.48046875,154.19140625,94,,,
encrypt,,,,,,,97.47265625,134.6953125,310,,,
decrypt,,,,,,,,,,118.25,158.09765625,96
encrypt,,,,,,,,,,108.24609375,148.265625,239
decrypt,157.515625,193.4296875,83,,,,,,,,,
encrypt,137.5078125,173.87109375,349,,,,,,,,,
decrypt,,,,97.14453125,135.36328125,59,,,,,,
encrypt,,,,77.13671875,114.6015625,150,,,,,,
decrypt,,,,,,,117.51953125,150.91015625,90,,,
encrypt,,,,,,,97.51171875,134.59765625,261,,,
decrypt,,,,,,,,,,118.21875,158.0390625,105
encrypt,,,,,,,,,,108.21484375,148.234375,215
decrypt,157.53125,188.0625,89,,,,,,,,,
encrypt,137.51953125,172.4921875,192,,,,,,,,,
decrypt,,,,97.21484375,130.96484375,48,,,,,,
encrypt,,,,77.20703125,111.12890625,195,,,,,,
decrypt,,,,,,,117.44921875,152.3515625,98,,,
encrypt,,,,,,,97.44140625,133.29296875,267,,,
decrypt,,,,,,,,,,118.23828125,151.14453125,91
encrypt,,,,,,,,,,108.234375,148.25390625,301
decrypt,157.53125,189.55078125,80,,,,,,,,,
encrypt,137.515625,172.49609375,264,,,,,,,,,
decrypt,,,,97.23828125,133.16015625,56,,,,,,
encrypt,,,,77.23046875,116.625,194,,,,,,
decrypt,,,,,,,117.45703125,154.87109375,90,,,
encrypt,,,,,,,97.44921875,134.54296875,273,,,
decrypt,,,,,,,,,,118.265625,157.078125,91
encrypt,,,,,,,,,,108.26171875,148.28125,255
decrypt,157.46484375,191.90234375,80,,,,,,,,,
encrypt,137.453125,171.65234375,258,,,,,,,,,
decrypt,,,,97.16015625,129.69140625,55,,,,,,
encrypt,,,,77.15234375,116.3359375,136,,,,,,
decrypt,,,,,,,117.51171875,155.4140625,88,,,
encrypt,,,,,,,97.49609375,132.44921875,260,,,
decrypt,,,,,,,,,,118.23046875,150.6171875,92
encrypt,,,,,,,,,,108.2265625,148.24609375,303
decrypt,157.5390625,191.44140625,80,,,,,,,,,
encrypt,137.5234375,176.51953125,200,,,,,,,,,
decrypt,,,,97.17578125,132.29296875,47,,,,,,
encrypt,,,,77.16796875,109.09765625,143,,,,,,
decrypt,,,,,,,117.47265625,150.04296875,89,,,
encrypt,,,,,,,97.46484375,137.15625,208,,,
decrypt,,,,,,,,,,118.234375,155.40234375,92
encrypt,,,,,,,,,,108.23046875,148.25,276
decrypt,157.54296875,191.5546875,87,,,,,,,,,
encrypt,137.53125,176.96484375,195,,,,,,,,,
decrypt,,,,97.20703125,129.7734375,46,,,,,,
encrypt,,,,77.19921875,114.8203125,169,,,,,,
decrypt,,,,,,,117.51953125,152.16015625,95,,,
encrypt,,,,,,,97.51171875,134.8828125,313,,,
decrypt,,,,,,,,,,118.22265625,157.390625,100
encrypt,,,,,,,,,,108.21875,148.234375,238
decrypt,157.57421875,196.55078125,80,,,,,,,,,
encrypt,137.5625,176.296875,335,,,,,,,,,
decrypt,,,,97.16796875,129.03515625,46,,,,,,
encrypt,,,,77.16015625,113.08984375,138,,,,,,
decrypt,,,,,,,117.46484375,153.00390625,90,,,
encrypt,,,,,,,97.453125,134.74609375,231,,,
decrypt,,,,,,,,,,118.15625,151.91796875,91
encrypt,,,,,,,,,,108.1484375,148.1640625,276
decrypt,157.4765625,193.6875,118,,,,,,,,,
encrypt,137.4609375,170.078125,199,,,,,,,,,
decrypt,,,,97.1875,134.71484375,47,,,,,,
encrypt,,,,77.1796875,113.33984375,224,,,,,,
decrypt,,,,,,,117.48828125,154.1328125,97,,,
encrypt,,,,,,,97.48046875,131.88671875,225,,,
decrypt,,,,,,,,,,118.21875,157.31640625,101
encrypt,,,,,,,,,,108.21484375,148.234375,338
decrypt,157.4921875,192.79296875,116,,,,,,,,,
encrypt,137.48046875,175.97265625,218,,,,,,,,,
decrypt,,,,97.16796875,130.0234375,47,,,,,,
encrypt,,,,77.16015625,114.5859375,167,,,,,,
decrypt,,,,,,,117.48046875,151.9140625,89,,,
encrypt,,,,,,,97.47265625,131.1484375,264,,,
decrypt,,,,,,,,,,118.25,150.421875,90
encrypt,,,,,,,,,,108.24609375,148.265625,272
decrypt,157.49609375,190.4453125,80,,,,,,,,,
encrypt,137.484375,173.84375,227,,,,,,,,,
decrypt,,,,97.203125,134.94921875,47,,,,,,
encrypt,,,,77.1953125,109.99609375,184,,,,,,
decrypt,,,,,,,117.49609375,152.37890625,89,,,
encrypt,,,,,,,97.48828125,130.640625,266,,,
decrypt,,,,,,,,,,118.140625,157.890625,92
encrypt,,,,,,,,,,108.1328125,148.140625,248
decrypt,157.5546875,190.3203125,81,,,,,,,,,
encrypt,137.53515625,175.453125,191,,,,,,,,,
decrypt,,,,97.12890625,135.21875,48,,,,,,
encrypt,,,,77.12109375,113.44140625,175,,,,,,
decrypt,,,,,,,117.46484375,149.6640625,90,,,
encrypt,,,,,,,97.45703125,137.14453125,223,,,
decrypt,,,,,,,,,,118.08984375,156.89453125,90
encrypt,,,,,,,,,,108.08203125,148.09765625,243
decrypt,157.515625,193.1484375,80,,,,,,,,,
encrypt,137.50390625,170.890625,188,,,,,,,,,
decrypt,,,,97.2421875,134.88671875,47,,,,,,
encrypt,,,,77.234375,111.81640625,172,,,,,,
decrypt,,,,,,,117.5078125,151.5,89,,,
encrypt,,,,,,,97.49609375,135.5078125,236,,,
decrypt,,,,,,,,,,118.2421875,152.9921875,91
encrypt,,,,,,,,,,108.23828125,148.25390625,261
decrypt,157.59375,192.30859375,80,,,,,,,,,
encrypt,137.57421875,170.921875,252,,,,,,,,,
decrypt,,,,97.20703125,130.609375,48,,,,,,
encrypt,,,,77.19921875,110.328125,152,,,,,,
decrypt,,,,,,,117.46484375,149.42578125,89,,,
encrypt,,,,,,,97.453125,131.7734375,330,,,
decrypt,,,,,,,,,,118.14453125,152.74609375,91
encrypt,,,,,,,,,,108.13671875,148.15234375,285
decrypt,157.4609375,192.125,79,,,,,,,,,
encrypt,137.44921875,171.890625,298,,,,,,,,,
decrypt,,,,97.16796875,129.24609375,48,,,,,,
encrypt,,,,77.16015625,109.89453125,114,,,,,,
decrypt,,,,,,,117.5,152.609375,89,,,
encrypt,,,,,,,97.48828125,135.8515625,248,,,
decrypt,,,,,,,,,,118.21484375,157.39453125,91
encrypt,,,,,,,,,,108.2109375,148.23046875,245
decrypt,157.53515625,197.15625,80,,,,,,,,,
encrypt,137.5234375,171.52734375,202,,,,,,,,,
decrypt,,,,97.1953125,131.7421875,47,,,,,,
encrypt,,,,77.1875,114.03515625,188,,,,,,
decrypt,,,,,,,117.45703125,152.74609375,88,,,
encrypt,,,,,,,97.4453125,133.6484375,284,,,
decrypt,,,,,,,,,,118.30078125,155.76953125,92
encrypt,,,,,,,,,,108.296875,148.31640625,241
decrypt,157.56640625,192.78125,79,,,,,,,,,
encrypt,137.5546875,174.41796875,214,,,,,,,,,
decrypt,,,,97.2265625,134.98828125,47,,,,,,
encrypt,,,,77.21875,109.89453125,193,,,,,,
decrypt,,,,,,,117.4609375,150.265625,90,,,
encrypt,,,,,,,97.453125,136.84375,217,,,
decrypt,,,,,,,,,,118.21484375,156.296875,90
encrypt,,,,,,,,,,108.2109375,148.23046875,229
decrypt,157.53515625,194.3515625,88,,,,,,,,,
encrypt,137.51953125,174.30859375,215,,,,,,,,,
decrypt,,,,97.20703125,136.21875,56,,,,,,
encrypt,,,,77.19921875,115.6484375,140,,,,,,
decrypt,,,,,,,117.50390625,153.90234375,89,,,
encrypt,,,,,,,97.4921875,131.00390625,339,,,
decrypt,,,,,,,,,,118.203125,149.71875,91
encrypt,,,,,,,,,,108.19921875,148.21875,313
decrypt,157.51953125,193.0,79,,,,,,,,,
encrypt,137.5078125,175.58984375,232,,,,,,,,,
decrypt,,,,97.171875,135.19140625,47,,,,,,
encrypt,,,,77.1640625,114.48046875,227,,,,,,
decrypt,,,,,,,117.53515625,151.75,98,,,
encrypt,,,,,,,97.52734375,133.4296875,251,,,
decrypt,,,,,,,,,,118.1328125,150.30078125,99
encrypt,,,,,,,,,,108.12890625,148.1484375,263
decrypt,157.546875,190.63671875,95,,,,,,,,,
encrypt,137.53125,170.62109375,224,,,,,,,,,
decrypt,,,,97.21484375,136.93359375,56,,,,,,
encrypt,,,,77.20703125,113.79296875,162,,,,,,
decrypt,,,,,,,117.50390625,150.58984375,89,,,
encrypt,,,,,,,97.48828125,136.01171875,210,,,
decrypt,,,,,,,,,,118.16796875,152.46875,101
encrypt,,,,,,,,,,108.1640625,148.18359375,241
decrypt,157.59765625,191.38671875,79,,,,,,,,,
encrypt,137.5859375,177.49609375,198,,,,,,,,,
decrypt,,,,97.17578125,136.9296875,48,,,,,,
encrypt,,,,77.16796875,114.30859375,181,,,,,,
decrypt,,,,,,,117.54296875,156.0078125,89,,,
encrypt,,,,,,,97.53515625,130.4609375,291,,,
decrypt,,,,,,,,,,118.25390625,157.69921875,100
encrypt,,,,,,,,,,108.25,148.26953125,311
decrypt,157.515625,191.4609375,79,,,,,,,,,
encrypt,137.49609375,174.98046875,206,,,,,,,,,
decrypt,,,,97.1796875,133.24609375,47,,,,,,
encrypt,,,,77.171875,113.1015625,202,,,,,,
decrypt,,,,,,,117.515625,148.3359375,89,,,
encrypt,,,,,,,97.5078125,135.55078125,284,,,
decrypt,,,,,,,,,,118.15234375,153.4765625,100
encrypt,,,,,,,,,,108.14453125,148.16015625,259
decrypt,157.52734375,191.50390625,81,,,,,,,,,
encrypt,137.515625,176.0234375,292,,,,,,,,,
decrypt,,,,97.234375,135.65234375,56,,,,,,
encrypt,,,,77.2265625,111.55859375,299,,,,,,
decrypt,,,,,,,117.484375,156.015625,90,,,
encrypt,,,,,,,97.47265625,135.73046875,237,,,
decrypt,,,,,,,,,,118.25,156.5,91
encrypt,,,,,,,,,,108.24609375,148.265625,260
decrypt,157.484375,194.19140625,89,,,,,,,,,
encrypt,137.47265625,169.03515625,222,,,,,,,,,
decrypt,,,,97.1796875,134.25390625,47,,,,,,
encrypt,,,,77.171875,114.98828125,183,,,,,,
decrypt,,,,,,,117.4609375,151.49609375,89,,,
encrypt,,,,,,,97.44921875,133.375,218,,,
decrypt,,,,,,,,,,118.2109375,154.76171875,91
encrypt,,,,,,,,,,108.20703125,148.22265625,270
decrypt,157.546875,194.98828125,81,,,,,,,,,
encrypt,137.53125,170.66796875,242,,,,,,,,,
decrypt,,,,97.1796875,136.921875,47,,,,,,
encrypt,,,,77.171875,115.56640625,139,,,,,,
decrypt,,,,,,,117.48046875,157.1640625,88,,,
encrypt,,,,,,,97.47265625,134.2109375,319,,,
decrypt,,,,,,,,,,118.1484375,150.3125,91
encrypt,,,,,,,,,,108.140625,148.15234375,271
decrypt,157.5078125,191.14453125,79,,,,,,,,,
encrypt,137.4921875,177.0390625,228,,,,,,,,,
decrypt,,,,97.16015625,137.06640625,48,,,,,,
encrypt,,,,77.15234375,113.28515625,122,,,,,,
decrypt,,,,,,,117.48828125,153.42578125,89,,,
encrypt,,,,,,,97.48046875,132.03125,258,,,
decrypt,,,,,,,,,,118.22265625,151.9375,102
encrypt,,,,,,,,,,108.21875,148.23828125,274
decrypt,157.55859375,194.859375,87,,,,,,,,,
encrypt,137.546875,176.44140625,180,,,,,,,,,
decrypt,,,,97.15625,132.73828125,47,,,,,,
encrypt,,,,77.1484375,110.171875,120,,,,,,
decrypt,,,,,,,117.4765625,155.05078125,90,,,
encrypt,,,,,,,97.4609375,130.37890625,232,,,
decrypt,,,,,,,,,,118.24609375,152.94921875,92
encrypt,,,,,,,,,,108.2421875,148.2578125,256
decrypt,157.5,190.6484375,79,,,,,,,,,
encrypt,137.48828125,177.4609375,171,,,,,,,,,
decrypt,,,,97.13671875,128.65625,46,,,,,,
encrypt,,,,77.12890625,110.0703125,254,,,,,,
decrypt,,,,,,,117.484375,154.95703125,87,,,
encrypt,,,,,,,97.4765625,130.6328125,241,,,
decrypt,,,,,,,,,,118.14453125,151.29296875,92
encrypt,,,,,,,,,,108.140625,148.16015625,259
decrypt,157.4609375,195.0390625,80,,,,,,,,,
encrypt,137.4453125,173.359375,190,,,,,,,,,
decrypt,,,,97.19140625,132.43359375,47,,,,,,
encrypt,,,,77.18359375,111.44921875,166,,,,,,
decrypt,,,,,,,117.5390625,156.265625,89,,,
encrypt,,,,,,,97.53125,130.66796875,230,,,
decrypt,,,,,,,,,,118.2109375,156.125,91
encrypt,,,,,,,,,,108.20703125,148.22265625,367
decrypt,157.546875,190.55859375,78,,,,,,,,,
encrypt,137.52734375,177.4296875,202,,,,,,,,,
decrypt,,,,97.1328125,131.3125,46,,,,,,
encrypt,,,,77.125,108.55078125,150,,,,,,
decrypt,,,,,,,117.52734375,157.34375,98,,,
encrypt,,,,,,,97.51953125,133.44140625,365,,,
decrypt,,,,,,,,,,118.25,152.265625,91
encrypt,,,,,,,,,,108.24609375,148.265625,247
decrypt,157.5390625,191.80859375,79,,,,,,,,,
encrypt,137.52734375,174.9765625,210,,,,,,,,,
decrypt,,,,97.2265625,134.6875,47,,,,,,
encrypt,,,,77.21875,112.796875,161,,,,,,
decrypt,,,,,,,117.515625,151.61328125,98,,,
encrypt,,,,,,,97.5078125,136.40234375,243,,,
decrypt,,,,,,,,,,118.15234375,151.65234375,91
encrypt,,,,,,,,,,108.14453125,148.16015625,264
decrypt,157.5390625,193.43359375,88,,,,,,,,,
encrypt,137.52734375,176.66015625,212,,,,,,,,,
decrypt,,,,97.19140625,133.66015625,47,,,,,,
encrypt,,,,77.18359375,116.15625,114,,,,,,
decrypt,,,,,,,117.5,156.41796875,98,,,
encrypt,,,,,,,97.48828125,133.4140625,206,,,
decrypt,,,,,,,,,,118.234375,150.80859375,90
encrypt,,,,,,,,,,108.23046875,148.25,290
decrypt,157.49609375,195.4296875,81,,,,,,,,,
encrypt,137.48828125,173.39453125,188,,,,,,,,,
decrypt,,,,97.21484375,134.30078125,47,,,,,,
encrypt,,,,77.20703125,110.01953125,157,,,,,,
decrypt,,,,,,,117.5078125,152.484375,99,,,
encrypt,,,,,,,97.49609375,130.80859375,216,,,
decrypt,,,,,,,,,,118.1953125,155.171875,90
encrypt,,,,,,,,,,108.19140625,148.2109375,316
decrypt,157.5234375,197.37109375,89,,,,,,,,,
encrypt,137.49609375,173.7109375,324,,,,,,,,,
decrypt,,,,97.16796875,136.85546875,47,,,,,,
encrypt,,,,77.16015625,116.30078125,142,,,,,,
decrypt,,,,,,,117.453125,156.67578125,98,,,
encrypt,,,,,,,97.4453125,137.35546875,220,,,
decrypt,,,,,,,,,,118.23046875,157.0546875,100
encrypt,,,,,,,,,,108.2265625,148.24609375,314
decrypt,157.5078125,191.2109375,79,,,,,,,,,
encrypt,137.4921875,173.9921875,176,,,,,,,,,
decrypt,,,,97.1953125,134.6953125,47,,,,,,
encrypt,,,,77.1875,114.5078125,128,,,,,,
decrypt,,,,,,,117.484375,157.078125,92,,,
encrypt,,,,,,,97.47265625,135.8046875,279,,,
decrypt,,,,,,,,,,118.12890625,157.83984375,99
encrypt,,,,,,,,,,108.12109375,148.13671875,222
