case/step,RW-ABE min,RW-ABE max,RW-ABE diff,RW-ABE amount,TAAC min,TAAC max,TAAC diff,TAAC amount
size 1,54.4921875,74.6171875,20.125,8,,,,,,,,,,,,
size 3,94.62890625,94.64453125,0.015625,9,,,,,,,,,,,,
size 5,144.8125,144.8125,0.0,9,,,,,,,,,,,,
size 7,75.0859375,94.89453125,19.80859375,9,,,,,,,,,,,,
size 9,115.0859375,134.9609375,19.875,10,,,,,,,,,,,,
size 1,115.12890625,145.00390625,29.875,8,,,,,,,,,,,,
size 3,125.23046875,137.8046875,12.57421875,11,,,,,,,,,,,,
size 5,135.29296875,145.16796875,9.875,9,,,,,,,,,,,,
size 7,135.359375,145.234375,9.875,10,,,,,,,,,,,,
size 9,135.4375,145.3125,9.875,13,,,,,,,,,,,,
size 1,145.3125,145.3125,0.0,8,,,,,,,,,,,,
size 3,145.31640625,145.3203125,0.00390625,10,,,,,,,,,,,,
size 5,155.33984375,155.43359375,0.09375,11,,,,,,,,,,,,
size 7,165.6640625,165.6640625,0.0,12,,,,,,,,,,,,
size 9,165.7421875,175.4140625,9.671875,11,,,,,,,,,,,,
size 1,165.8984375,185.703125,19.8046875,8,,,,,,,,,,,,
size 3,135.9921875,175.9921875,40.0,8,,,,,,,,,,,,
size 5,135.94140625,145.81640625,9.875,9,,,,,,,,,,,,
size 7,145.6640625,155.81640625,10.15234375,9,,,,,,,,,,,,
size 9,135.96875,135.96875,0.0,10,,,,,,,,,,,,
size 1,136.0078125,136.0078125,0.0,8,,,,,,,,,,,,
size 3,136.09375,136.09375,0.0,7,,,,,,,,,,,,
size 5,136.20703125,166.08203125,29.875,8,,,,,,,,,,,,
size 7,146.140625,146.140625,0.0,9,,,,,,,,,,,,
size 9,146.140625,146.140625,0.0,11,,,,,,,,,,,,
size 1,166.015625,176.0546875,10.0390625,7,,,,,,,,,,,,
size 3,156.25,176.16796875,19.91796875,8,,,,,,,,,,,,
size 5,186.3515625,186.3515625,0.0,8,,,,,,,,,,,,
size 7,216.59765625,226.48046875,9.8828125,10,,,,,,,,,,,,
size 9,136.76171875,256.76171875,120.0,10,,,,,,,,,,,,
size 1,136.76171875,136.76171875,0.0,7,,,,,,,,,,,,
size 3,156.76171875,156.76171875,0.0,9,,,,,,,,,,,,
size 5,156.76171875,156.76171875,0.0,7,,,,,,,,,,,,
size 7,146.8125,163.53125,16.71875,10,,,,,,,,,,,,
size 9,176.80078125,176.81640625,0.015625,12,,,,,,,,,,,,
size 1,177.0234375,186.8984375,9.875,7,,,,,,,,,,,,
size 3,157.08203125,157.08203125,0.0,9,,,,,,,,,,,,
size 5,176.95703125,176.95703125,0.0,9,,,,,,,,,,,,
size 7,176.95703125,176.95703125,0.0,10,,,,,,,,,,,,
size 9,177.02734375,177.02734375,0.0,10,,,,,,,,,,,,
size 1,187.09765625,187.09765625,0.0,8,,,,,,,,,,,,
size 3,187.16796875,187.16796875,0.0,9,,,,,,,,,,,,
size 5,187.25390625,187.25390625,0.0,9,,,,,,,,,,,,
size 7,177.37890625,177.37890625,0.0,10,,,,,,,,,,,,
size 9,177.37890625,177.40625,0.02734375,10,,,,,,,,,,,,
size 1,177.4375,177.4375,0.0,8,,,,,,,,,,,,
size 3,177.51953125,187.30078125,9.78125,8,,,,,,,,,,,,
size 5,167.60546875,197.48046875,29.875,11,,,,,,,,,,,,
size 7,167.66796875,187.5390625,19.87109375,10,,,,,,,,,,,,
size 9,167.7109375,167.7109375,0.0,9,,,,,,,,,,,,
size 1,177.5859375,177.5859375,0.0,9,,,,,,,,,,,,
size 3,177.5859375,177.5859375,0.0,11,,,,,,,,,,,,
size 5,177.5078125,177.6796875,0.171875,9,,,,,,,,,,,,
size 7,177.72265625,187.68359375,9.9609375,9,,,,,,,,,,,,
size 9,177.96484375,207.8671875,29.90234375,11,,,,,,,,,,,,
size 1,188.05859375,197.93359375,9.875,9,,,,,,,,,,,,
size 3,168.05859375,168.05859375,0.0,9,,,,,,,,,,,,
size 5,177.93359375,177.93359375,0.0,9,,,,,,,,,,,,
size 7,178.02734375,178.02734375,0.0,10,,,,,,,,,,,,
size 9,168.234375,188.109375,19.875,12,,,,,,,,,,,,
