case,DAC-MACS,RD-DABE,RW-ABE,TAAC
1,56.9,,,
2,71.5,,,
3,58.4,,,
4,56.6,,,
5,65.5,,,
6,69.5,,,
7,80.1,,,
8,77.1,,,
9,76.7,,,
10,73.8,,,
1,,61.9,,
2,,60.8,,
3,,73.3,,
4,,77.9,,
5,,83.7,,
6,,72.8,,
7,,51.1,,
8,,45.7,,
9,,69.7,,
10,,78.7,,
1,,,61.5,
2,,,56.9,
3,,,74.4,
4,,,68.1,
5,,,83.4,
6,,,71.4,
7,,,65.5,
8,,,71.7,
9,,,74.3,
10,,,72.3,
1,,,,62.5
2,,,,60.7
3,,,,67.2
4,,,,62.9
5,,,,72.0
6,,,,72.2
7,,,,70.0
8,,,,72.2
9,,,,75.4
10,,,,74.8
1,56.0,,,
2,50.7,,,
3,62.7,,,
4,67.0,,,
5,79.6,,,
6,66.9,,,
7,69.2,,,
8,66.5,,,
9,62.3,,,
10,73.7,,,
1,,62.6,,
2,,59.2,,
3,,78.7,,
4,,49.0,,
5,,68.2,,
6,,67.7,,
7,,65.6,,
8,,62.8,,
9,,72.3,,
10,,61.6,,
1,,,74.7,
2,,,72.1,
3,,,64.9,
4,,,62.7,
5,,,62.2,
6,,,79.9,
7,,,69.3,
8,,,68.2,
9,,,75.8,
10,,,75.2,
1,,,,72.5
2,,,,67.4
3,,,,73.7
4,,,,64.6
5,,,,69.1
6,,,,67.7
7,,,,71.4
8,,,,75.8
9,,,,66.3
10,,,,70.3
1,76.7,,,
2,67.8,,,
3,71.0,,,
4,72.9,,,
5,71.0,,,
6,75.6,,,
7,58.8,,,
8,81.1,,,
9,71.6,,,
10,85.7,,,
1,,68.3,,
2,,64.8,,
3,,63.7,,
4,,57.7,,
5,,73.9,,
6,,69.7,,
7,,88.6,,
8,,49.4,,
9,,75.8,,
10,,88.5,,
1,,,52.7,
2,,,67.3,
3,,,71.9,
4,,,73.0,
5,,,68.9,
6,,,76.8,
7,,,82.4,
8,,,82.9,
9,,,79.2,
10,,,75.5,
1,,,,55.6
2,,,,71.9
3,,,,69.2
4,,,,55.8
5,,,,65.0
6,,,,63.7
7,,,,70.1
8,,,,82.1
9,,,,74.9
10,,,,73.4
1,64.7,,,
2,60.7,,,
3,66.2,,,
4,57.2,,,
5,50.0,,,
6,66.1,,,
7,74.5,,,
8,72.8,,,
9,70.1,,,
10,64.5,,,
1,,78.1,,
2,,68.1,,
3,,47.2,,
4,,66.4,,
5,,60.9,,
