case,DAC-MACS,RD-DABE,RW-ABE,TAAC
base,64.9,,,
base,,60.0,,
base,,,76.0,
base,,,,88.0
base,65.6,,,
base,,65.1,,
base,,,73.7,
base,,,,80.7
base,72.3,,,
base,,65.9,,
base,,,68.2,
base,,,,82.5
base,72.2,,,
base,,69.2,,
base,,,70.1,
base,,,,78.7
base,68.3,,,
base,,68.4,,
base,,,66.8,
base,,,,87.0
base,77.2,,,
base,,69.0,,
base,,,60.9,
base,,,,87.3
base,66.1,,,
base,,71.5,,
base,,,70.7,
base,,,,84.6
base,67.6,,,
base,,62.1,,
base,,,68.0,
base,,,,82.5
base,62.3,,,
base,,64.8,,
base,,,64.3,
base,,,,86.7
base,68.6,,,
base,,63.9,,
base,,,62.8,
base,,,,88.2
base,60.5,,,
base,,66.8,,
base,,,61.0,
base,,,,89.3
base,63.0,,,
base,,66.1,,
base,,,74.4,
base,,,,85.2
