case/step,DAC-MACS min,DAC-MACS max,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE amount,TAAC min,TAAC max,TAAC amount
authsetup,,,,,,,,,,57.82421875,57.87890625,514
keygen,,,,,,,,,,57.8828125,57.8984375,415
register,,,,,,,,,,57.8828125,57.8828125,5
decrypt,,,,,,,,,,67.921875,100.97265625,131
encrypt,36.73046875,71.9296875,207,,,,,,,,,
setup,36.73046875,36.734375,122,,,,,,,,,
authsetup,36.73046875,36.734375,130,,,,,,,,,
keygen,36.73046875,36.734375,57,,,,,,,,,
register,36.73046875,36.73046875,6,,,,,,,,,
decrypt,46.734375,76.62109375,62,,,,,,,,,
encrypt,,,,36.7421875,76.62109375,264,,,,,,
setup,,,,36.7421875,36.7421875,106,,,,,,
authsetup,,,,36.7421875,36.7421875,42,,,,,,
keygen,,,,36.7421875,36.7421875,87,,,,,,
register,,,,36.7421875,36.7421875,5,,,,,,
decrypt,,,,56.75,89.9375,48,,,,,,
encrypt,,,,,,,36.76953125,70.23046875,227,,,
setup,,,,,,,36.76953125,36.76953125,5,,,
authsetup,,,,,,,36.76953125,36.76953125,27,,,
keygen,,,,,,,36.76953125,36.7734375,176,,,
register,,,,,,,36.76953125,36.76953125,5,,,
decrypt,,,,,,,46.7734375,71.4765625,61,,,
encrypt,,,,,,,,,,57.89453125,95.0,249
setup,,,,,,,,,,57.86328125,57.86328125,57
authsetup,,,,,,,,,,57.8359375,57.87890625,513
keygen,,,,,,,,,,57.8828125,57.89453125,421
register,,,,,,,,,,57.8828125,57.8828125,5
decrypt,,,,,,,,,,67.9296875,101.98046875,130
encrypt,36.73046875,71.78515625,201,,,,,,,,,
setup,36.73046875,36.73046875,142,,,,,,,,,
authsetup,36.73046875,36.734375,129,,,,,,,,,
keygen,36.73046875,36.73046875,57,,,,,,,,,
register,36.73046875,36.73046875,6,,,,,,,,,
decrypt,46.734375,71.7265625,63,,,,,,,,,
encrypt,,,,36.7421875,75.53515625,266,,,,,,
setup,,,,36.7421875,36.7421875,108,,,,,,
authsetup,,,,36.7421875,36.74609375,42,,,,,,
keygen,,,,36.7421875,36.7421875,87,,,,,,
register,,,,36.7421875,36.7421875,5,,,,,,
decrypt,,,,56.75,89.94140625,48,,,,,,
encrypt,,,,,,,36.76953125,75.55859375,295,,,
setup,,,,,,,36.76953125,36.7734375,6,,,
authsetup,,,,,,,36.76953125,36.76953125,21,,,
keygen,,,,,,,36.76953125,36.7734375,176,,,
register,,,,,,,36.76953125,36.76953125,5,,,
decrypt,,,,,,,46.7734375,73.11328125,61,,,
encrypt,,,,,,,,,,57.8828125,95.38671875,214
setup,,,,,,,,,,57.84765625,57.8515625,49
authsetup,,,,,,,,,,57.8203125,57.8671875,523
keygen,,,,,,,,,,57.87109375,57.8828125,424
register,,,,,,,,,,57.87109375,57.87109375,5
decrypt,,,,,,,,,,67.9140625,105.53125,131
encrypt,36.73046875,75.28125,219,,,,,,,,,
setup,36.73046875,36.734375,85,,,,,,,,,
authsetup,36.73046875,36.73046875,129,,,,,,,,,
keygen,36.73046875,36.73046875,56,,,,,,,,,
register,36.73046875,36.73046875,6,,,,,,,,,
decrypt,46.734375,71.9921875,64,,,,,,,,,
encrypt,,,,36.7421875,74.55859375,132,,,,,,
setup,,,,36.7421875,36.7421875,11,,,,,,
authsetup,,,,36.7421875,36.74609375,43,,,,,,
keygen,,,,36.7421875,36.7421875,88,,,,,,
register,,,,36.7421875,36.7421875,5,,,,,,
decrypt,,,,56.75,91.53515625,48,,,,,,
encrypt,,,,,,,36.76953125,76.32421875,211,,,
setup,,,,,,,36.76953125,36.7734375,5,,,
authsetup,,,,,,,36.76953125,36.76953125,21,,,
keygen,,,,,,,36.76953125,36.7734375,177,,,
register,,,,,,,36.76953125,36.76953125,4,,,
decrypt,,,,,,,46.7734375,75.640625,61,,,
encrypt,,,,,,,,,,57.8828125,92.86328125,185
setup,,,,,,,,,,57.8515625,57.8515625,109
authsetup,,,,,,,,,,57.8203125,57.8671875,520
keygen,,,,,,,,,,57.87109375,57.8828125,425
register,,,,,,,,,,57.87109375,57.87109375,5
decrypt,,,,,,,,,,67.9140625,106.59765625,131
encrypt,36.73046875,71.984375,238,,,,,,,,,
setup,36.73046875,36.734375,112,,,,,,,,,
authsetup,36.73046875,36.734375,131,,,,,,,,,
keygen,36.73046875,36.73046875,58,,,,,,,,,
register,36.73046875,36.734375,6,,,,,,,,,
decrypt,46.734375,73.38671875,63,,,,,,,,,
encrypt,,,,36.71875,73.93359375,212,,,,,,
setup,,,,36.71875,36.71875,105,,,,,,
authsetup,,,,36.71875,36.72265625,42,,,,,,
keygen,,,,36.71875,36.71875,87,,,,,,
register,,,,36.71875,36.71875,5,,,,,,
decrypt,,,,56.7265625,96.4765625,49,,,,,,
encrypt,,,,,,,36.76953125,71.01953125,178,,,
setup,,,,,,,36.76953125,36.76953125,5,,,
authsetup,,,,,,,36.76953125,36.76953125,21,,,
keygen,,,,,,,36.76953125,36.76953125,176,,,
register,,,,,,,36.76953125,36.76953125,5,,,
decrypt,,,,,,,56.77734375,94.69921875,61,,,
encrypt,,,,,,,,,,57.90625,90.55078125,211
setup,,,,,,,,,,57.87109375,57.87109375,48
authsetup,,,,,,,,,,57.84375,57.890625,516
keygen,,,,,,,,,,57.89453125,57.90625,419
register,,,,,,,,,,57.89453125,57.89453125,5
decrypt,,,,,,,,,,67.9375,102.28125,131
encrypt,36.73046875,75.359375,208,,,,,,,,,
setup,36.73046875,36.734375,115,,,,,,,,,
authsetup,36.73046875,36.734375,130,,,,,,,,,
keygen,36.73046875,36.73046875,59,,,,,,,,,
register,36.73046875,36.73046875,6,,,,,,,,,
decrypt,46.734375,74.2578125,63,,,,,,,,,
encrypt,,,,36.74609375,75.3828125,189,,,,,,
setup,,,,36.74609375,36.74609375,98,,,,,,
authsetup,,,,36.74609375,36.75,43,,,,,,
keygen,,,,36.74609375,36.74609375,87,,,,,,
register,,,,36.74609375,36.74609375,5,,,,,,
decrypt,,,,56.75390625,94.25390625,48,,,,,,
encrypt,,,,,,,36.76953125,69.625,262,,,
setup,,,,,,,36.76953125,36.76953125,5,,,
authsetup,,,,,,,36.76953125,36.7734375,26,,,
keygen,,,,,,,36.76953125,36.7734375,177,,,
register,,,,,,,36.76953125,36.76953125,5,,,
decrypt,,,,,,,56.77734375,92.0234375,61,,,
encrypt,,,,,,,,,,57.90234375,93.12890625,183
setup,,,,,,,,,,57.86328125,57.8671875,103
authsetup,,,,,,,,,,57.8359375,57.8828125,511
keygen,,,,,,,,,,57.88671875,57.90234375,419
register,,,,,,,,,,57.88671875,57.88671875,5
decrypt,,,,,,,,,,67.9375,105.7578125,131
encrypt,36.73046875,75.6875,162,,,,,,,,,
setup,36.73046875,36.734375,114,,,,,,,,,
authsetup,36.73046875,36.734375,130,,,,,,,,,
keygen,36.73046875,36.73046875,57,,,,,,,,,
register,36.73046875,36.73046875,6,,,,,,,,,
decrypt,46.734375,74.83203125,63,,,,,,,,,
encrypt,,,,36.71875,74.6875,168,,,,,,
setup,,,,36.71875,36.71875,105,,,,,,
authsetup,,,,36.71875,36.72265625,42,,,,,,
keygen,,,,36.71875,36.71875,88,,,,,,
register,,,,36.71875,36.71875,6,,,,,,
decrypt,,,,56.7265625,92.68359375,48,,,,,,
encrypt,,,,,,,36.76953125,71.44140625,199,,,
setup,,,,,,,36.76953125,36.76953125,5,,,
authsetup,,,,,,,36.76953125,36.76953125,16,,,
keygen,,,,,,,36.76953125,36.7734375,179,,,
register,,,,,,,36.76953125,36.76953125,7,,,
decrypt,,,,,,,46.7734375,70.84375,61,,,
encrypt,,,,,,,,,,57.87109375,90.36328125,217
setup,,,,,,,,,,57.8359375,57.8359375,101
authsetup,,,,,,,,,,57.80859375,57.85546875,506
keygen,,,,,,,,,,57.859375,57.87109375,421
register,,,,,,,,,,57.859375,57.859375,5
decrypt,,,,,,,,,,67.90625,102.40234375,129
encrypt,36.73046875,70.94921875,284,,,,,,,,,
setup,36.73046875,36.73046875,122,,,,,,,,,
